Player,team,opponent,proj_mins,conf,last_5_games,last_5_games_fouls,pos,stat,bet_side,stat_projection,line,odds,book,win_pct,expected_value,xAiScore,manualRtg,manualNotes,full_odds_meta_data,team_averages,minutes_injury_summary,minutes_confidence_justification,xAiContext,matched_sim_means,sim_source,game_time_cst,kenpom_player_url,etr_mins,etr_mins_diff,etr_proj,etr_proj_diff,rg_mins,rg_mins_diff,rg_proj,rg_proj_diff
Melvin Council,Kansas,St. John's,37.0,0.95,"[39, 31, 40, 35, 31]","[1.8, 1.4, 1.8, 1.6, 1.4]",G,points_rebounds_assists,over,22.9347,19.5,-118,splash_sports,0.68,1.2566,42.0,,,sleeper 19.5 O -128; U -128 | splash_sports 19.5 O -118; U -118,"Team REB: 38.63, Team AST: 14.40, Team 3PM: 7.37, Team STL: 5.50, Team BLK: 5.87, Team TO: 10.73",,,"Minutes stable at ~35-40, matching proj & last5 log. But PRA avg 19.2 last5 (14,11,17,35,19), drops to 14 avg last3 tourney games (CBU/HOU/TCU). Scoring slump: 4/4/7 pts vs 13.2 proj. Fatigue noted (day off pre-NCAAs, led mins). Team proj PTS/AST down vs season. St. John's tough matchup risks under. Fragile recent prod lowers edge trust.","13.15,5.05,4.74","interpolated_sim,interpolated_sim,interpolated_sim",2026-03-22 04:15 PM CDT,https://kenpom.com/player.php?p=55518,35.0,-2.0,19.79,-3.14,36.0,-1.0,18.89,-4.04
Tobe Awaka,Arizona,Utah St.,17.0,0.9,"[20, 20, 27, 14, 18]","[2.6, 2.6, 3.5, 1.8, 2.3]",FC,points_rebounds_assists,under,16.1182,18.5,-118,splash_sports,0.68,1.2565,72.0,,,splash_sports 18.5 O -118; U -118,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",,Recent minutes trending down but key bench piece in lineups,"Minutes proj 17 vs last5 avg 19.8 (20,20,27,14,18), recent downtrend 14-18min in tourney/blowout. PRA last5 avg18 (24,18,21,7,20) exceeds 16.1 proj but outlier low7; per-min consistent ~0.9. Reb proj7.6 low vs recent8.4avg/season9.5, matchup vs small Utah St frontcourt (<6'9) favors higher reb. Role stable key bench big, no injuries/news. Variance in min/PRA from fouls lowers trust in under edge.","7.92,7.56,0.63","interpolated_sim,interpolated_sim,poisson_fallback",2026-03-22 06:50 PM CDT,https://kenpom.com/player.php?p=53032,18.0,1.0,15.47,-0.65,20.0,3.0,16.68,0.56
Jaden Bradley,Arizona,Utah St.,32.0,0.88,"[35, 31, 31, 34, 23]","[2.2, 1.9, 1.9, 2.1, 1.4]",G,threes,over,0.8968,0.5,112,caesars,0.59,1.2553,65.0,,,caesars 0.5 O +112; U NA,"Team REB: 43.23, Team AST: 17.23, Team 3PM: 5.87, Team STL: 8.07, Team BLK: 4.27, Team TO: 11.03",Tweaked left wrist/finger in Big 12 final but returned to game and practicing normally,Healthy now but slight uncertainty post-injury; blowout limited last game's minutes,"Minutes rock-solid (31-36 last 5, 0.92 conf); wrist scare resolved (neg X-ray, full play). But Bradley low-vol 3PT guard (seas 0.8 3PM/1.9PA/41%; last5:2,0,0,0,0 for 0.4avg, minimal att in B12 tourney). Not primary shooter-role; recent cold streak fragile vs proj 0.87. LIU blowout may boost but edge shaky/stale.",0.90,poisson_fallback,2026-03-22 06:50 PM CDT,https://kenpom.com/player.php?p=52396,32.0,0.0,0.86,-0.04,32.0,0.0,0.87,-0.03
Xaivian Lee,Florida,Iowa,30.0,0.95,"[25, 31, 31, 30, 23]","[1.7, 2.1, 2.1, 2, 1.6]",G,assists,under,3.8618,4.5,-110,fanatics,0.66,1.2511,68.0,,,fanatics 4.5 O -120; U -110 | splash_sports 4.5 O -118; U -118,"Team REB: 45.67, Team AST: 16.83, Team 3PM: 7.57, Team STL: 6.67, Team BLK: 5.07, Team TO: 11.73",,,"Minutes proj 30 aligns w/ last5 avg ~28, stable role as starting guard. Recent 5g ast avg 5.2 (5,4,6,5,6) exceeds 3.86 proj & 4.2 season, questioning model freshness. Iowa elite limiting opp ast (11.6/gm, #37), team AST proj down to 14.5 vs 16.8 szn. Blowout risk low vs methodical IA; under edge holds but recent hot streak caps trust.",3.86,interpolated_sim,2026-03-22 06:10 PM CDT,https://kenpom.com/player.php?p=53977,31.0,1.0,3.85,-0.02,29.25,-0.75,4.2,0.34
Trey Kaufman-Renn,Purdue,Miami FL,28.0,0.9,"[29, 30, 26, 28, 25]","[2.3, 2.4, 2.1, 2.2, 2]",C,points_rebounds,under,22.8719,25.5,-113,fanduel,0.66,1.2479,78.0,,,fanduel 25.5 O -113; U -113,"Team REB: 35.60, Team AST: 19.67, Team 3PM: 9.40, Team STL: 5.67, Team BLK: 2.67, Team TO: 9.17",Shoulder scare in Big Ten final but fully progressed and available,,"Last 5: pts+reb 23(20+3),22(12+10),19(10+9),25(19+6),20(17+3) avg21.8 under 25.5. Mins avg28 (data last5 27.2), proj25 conservative. Shoulder pain 3/15 vs Mich but 28min/20pts. Stable starter role, no injury news. Queens poor reb (worst nationally), risks reb spike to 10+ despite recent tourney lows (avg6.2reb vs tough D). High team PTS/REB proj favors mild over threat. Edge ok but opp mismatch dings.","13.79,9.08","interpolated_sim,interpolated_sim",2026-03-22 11:10 AM CDT,https://kenpom.com/player.php?p=51194,32.0,4.0,23.99,1.12,30.0,2.0,23.19,0.32
Braden Smith,Purdue,Miami FL,35.0,0.95,"[36, 37, 32, 38, 32]","[1.7, 1.8, 1.5, 1.8, 1.5]",G,assists,under,7.9536,8.5,110,fanatics,0.59,1.2459,38.0,,,caesars 9.5 O +111; U -148 | fanatics 8.5 O -145; U +110 | prophetx 9.5 O +107; U -167,"Team REB: 35.60, Team AST: 19.67, Team 3PM: 9.40, Team STL: 5.67, Team BLK: 2.67, Team TO: 9.17",,,"Minutes stable ~35/min proj matches last5 (32-38). But assists recent last5:8,11,9,10,16 (avg10.8, 4/5 over8.5); last10 avg9.7 (7/10 over). Season9.0APG. Broke NCAA ast record vsQueens(8ast). Previews push over9.5; Miami must stop him but no D news. Projection7.95 stale vs hot streak/role; under edge fragile/untrustworthy.",7.95,interpolated_sim,2026-03-22 11:10 AM CDT,https://kenpom.com/player.php?p=52901,38.0,3.0,7.18,-0.77,36.0,1.0,7.8,-0.15
Darryn Peterson,Kansas,St. John's,36.0,0.92,"[35, 29, 37, 28, 37]","[1.9, 1.6, 2, 1.5, 2]",GF,points_rebounds,under,24.3258,27.5,-120,fanduel,0.68,1.2451,68.0,,,fanduel 27.5 O -106; U -120,"Team REB: 38.63, Team AST: 14.40, Team 3PM: 7.37, Team STL: 5.50, Team BLK: 5.87, Team TO: 10.73","History of cramping, hamstring, ankle issues but cleared for NCAA Tournament and played fully in first round","Consistent 30+ min load recently (avg 33), no recent absences","Minutes proj 36 reliable (last5 avg~33, tournament 37 full). Cleared injuries, no recent issues. Season PRA~24.3 matches proj; recent volatile: CBU 28pts/1reb=29, Houston14/low=low, KSt27/5=32, Az15/10=25. Rebs swingy 1-10. Star role certain, high usage. Market props o23.5pts/o4.5reb imply ~28PRA risk vs low team PTS proj. Solid edge but fragile high-end vulnerable.","19.22,5.11","interpolated_sim,interpolated_sim",2026-03-22 04:15 PM CDT,https://kenpom.com/player.php?p=58391,37.0,1.0,26.24,1.91,37.0,1.0,27.21,2.88
Tre White,Kansas,St. John's,33.0,0.9,"[37, 30, 38, 21, 32]","[2.2, 1.8, 2.3, 1.3, 1.9]",FC,points_rebounds,over,19.3474,16.5,-108,fanduel,0.65,1.2449,68.0,,,fanduel 16.5 O -108; U -118,"Team REB: 38.63, Team AST: 14.40, Team 3PM: 7.37, Team STL: 5.50, Team BLK: 5.87, Team TO: 10.73",,"Key rotation player in top lineups, strong first-round performance; avg ~31 min despite std dev 6.09","Minutes proj 33 reliable avg~31 last5 but std6+21min outlier in loss. Recent tourney PRA:19(CBU poor shoot),8(HOU),11(TCU); avg13<proj19. Season13.8/6.7 solid but post cold streak, jacking bad 3s, waving off star. Tougher StJ, low team PTS/REB proj risks output. Key role but fragile form lowers edge.","12.41,6.94","interpolated_sim,interpolated_sim",2026-03-22 04:15 PM CDT,https://kenpom.com/player.php?p=53086,32.0,-1.0,18.45,-0.9,32.0,-1.0,17.17,-2.18
C.J. Cox,Purdue,Miami FL,25.0,0.9,"[28, 22, 27, 27, 25]","[1.5, 1.2, 1.4, 1.4, 1.3]",G,threes,under,1.478,1.5,114,caesars,0.58,1.2448,68.0,,,caesars 1.5 O -152; U +114 | fanatics 1.5 O -145; U +110 | prophetx 1.5 O -214; U -119,"Team REB: 35.60, Team AST: 19.67, Team 3PM: 9.40, Team STL: 5.67, Team BLK: 2.67, Team TO: 9.17",,,"Minutes proj 25 solid, last5 avg 25.8 match data. Recent 3PM: 3,0,1,3,1 (avg1.6>1.48proj), highs 3-5 lately but variance high (0-3 range). 4.4 3PA/37% recent supports ~1.6-1.7. Hot streak 10/3games prior, 3/4 vs Queens. No injuries/role changes. Miami matchup needs Purdue 3s, but projection undervalues recent form making under edge fragile/untrustworthy.",1.48,interpolated_sim,2026-03-22 11:10 AM CDT,https://kenpom.com/player.php?p=56089,25.0,0.0,1.47,-0.0,25.0,0.0,1.78,0.3
Felix Okpara,Tennessee,Virginia,30.0,0.98,"[28, 32, 31, 27, 29]","[2.5, 2.9, 2.8, 2.4, 2.6]",C,points_rebounds_assists,under,14.4378,16.5,-118,splash_sports,0.67,1.24,62.0,,,splash_sports 16.5 O -118; U -118,"Team REB: 42.67, Team AST: 17.20, Team 3PM: 6.67, Team STL: 7.63, Team BLK: 3.43, Team TO: 11.97",,,"Minutes stable at ~29-30 last 5-10 games, high conf, starter w/ Estrella sharing frontcourt. Recent PRA avg 17.8 last10/17.8 last5 >> proj 14.4 (pts 10.2>7.3, reb 7.4>6.7). 3/5 last5 over 16.5; highs 28,23,27 earlier. Foul trouble risk (PF3.4avg, 16min once). Calf injury Feb resolved. VA def/low pace game favors under but stale proj/hot streak lowers trust. PRA variable/fragile.","7.34,6.65,0.44","interpolated_sim,interpolated_sim,poisson_fallback",2026-03-22 05:10 PM CDT,https://kenpom.com/player.php?p=53372,30.0,0.0,15.02,0.58,29.0,-1.0,14.53,0.09
Melvin Council,Kansas,St. John's,37.0,0.95,"[39, 31, 40, 35, 31]","[1.8, 1.4, 1.8, 1.6, 1.4]",G,points,over,13.15,10.5,-113,prophetx,0.66,1.2393,38.0,,,caesars 10.5 O -120; U -112 | fanatics 10.5 O -115; U -115 | fanduel 10.5 O -118; U -110 | prophetx 10.5 O -113; U -161 | sleeper 10.5 O -125; U -132 | splash_sports 10.5 O -118; U -118,"Team REB: 38.63, Team AST: 14.40, Team 3PM: 7.37, Team STL: 5.50, Team BLK: 5.87, Team TO: 10.73",,,"Minutes proj solid (last5:31-40min avg35+), no injuries, rested post-B12 slump. But points last5:4,4,7,17,7 (avg7.8), postseason 4.3avg on 6/35FG(17%). Cold streak fragile; 1/5 over10.5. Proj13.15 stale vs recent log/team low PTS71. St.Johns elite D. Edge untrustworthy.",13.15,interpolated_sim,2026-03-22 04:15 PM CDT,https://kenpom.com/player.php?p=55518,35.0,-2.0,11.35,-1.8,36.0,-1.0,10.29,-2.86
LeJuan Watts,Texas Tech,Alabama,24.0,0.9,"[25, 19, 18, 27, 25]","[2.2, 1.7, 1.6, 2.4, 2.2]",F,points,under,12.6255,14.5,-115,fanatics,0.66,1.2371,88.0,,,fanatics 14.5 O -115; U -115 | sleeper 14.5 O -115; U -143 | splash_sports 14.5 O -118; U -118,"Team REB: 37.30, Team AST: 16.07, Team 3PM: 11.47, Team STL: 5.93, Team BLK: 3.87, Team TO: 10.90",Reported injury exit in Big 12 tournament semifinal,,"Minutes stable at ~23-24 avg last 5 (24,28,18,19,26), proj 24 solid post-injury; played Akron full 24min/14pts (under line), Big12 semi 28min/12pts despite exit. Recent pts:14,12,7,4,5 (avg8.4)<proj12.6<line14.5. Toppin out boosts role but production capped; TTU high PTS proj but Watts secondary. No new injury; under trustworthy.",12.63,interpolated_sim,2026-03-22 08:45 PM CDT,https://kenpom.com/player.php?p=53283,26.0,2.0,12.88,0.25,26.0,2.0,12.19,-0.44
Alex Condon,Florida,Iowa,29.0,0.95,"[27, 28, 36, 31, 25]","[2.4, 2.5, 3.2, 2.8, 2.2]",C,points_rebounds_assists,under,21.9206,24.5,-118,splash_sports,0.67,1.2334,42.0,,,splash_sports 24.5 O -118; U -118,"Team REB: 45.67, Team AST: 16.83, Team 3PM: 7.57, Team STL: 6.67, Team BLK: 5.07, Team TO: 11.73",,,"Minutes proj 29 solid vs last5 avg 29.4, stable role as starting F key vs Iowa's small frontcourt. Recent PRA avg 27.2 last5 (21,22,34,23,36), all near/over 24.5, hot streak 20+pts often. Proj 21.9 undervals matchup/ form; team low REB/PTS proj but Condon feasts inside. Edge fragile, lowers under trust.","12.88,6.24,2.79","interpolated_sim,interpolated_sim,interpolated_sim",2026-03-22 06:10 PM CDT,https://kenpom.com/player.php?p=54391,33.0,4.0,23.38,1.46,29.25,0.25,21.89,-0.03
Otega Oweh,Kentucky,Iowa St.,38.0,0.95,"[38, 39, 35, 39, 43]","[3, 3.1, 2.8, 3.1, 3.4]",GF,steals,over,1.7691,1.5,140,fanatics,0.51,1.2326,72.0,,,fanatics 1.5 O +140; U -180,"Team REB: 38.20, Team AST: 16.17, Team 3PM: 8.33, Team STL: 7.10, Team BLK: 4.33, Team TO: 10.73",,,"Minutes proj solid at 38min w/ consistent last5 (35-43). Oweh season 1.8 SPG leader, proj 1.77 matches. Last5 STL:1,2,2,1,1 (avg1.4, over1.5 in 3/5). Recent tourney 1STL despite heroics. Team STL proj down to6.3 vs7.1. IowaSt allows avg opp STL. Fragile steals variance (0-5), but role secure. Slight edge holds.",1.77,interpolated_sim,2026-03-22 01:45 PM CDT,https://kenpom.com/player.php?p=52919,38.0,0.0,1.86,0.09,39.0,1.0,1.87,0.1
Tamin Lipsey,Iowa St.,Kentucky,33.0,0.9,"[34, 30, 31, 30, 17]","[2, 1.8, 1.9, 1.8, 1]",G,points,over,15.5723,12.5,-118,splash_sports,0.67,1.2309,75.0,,,sleeper 12.5 O -128; U -128 | splash_sports 12.5 O -118; U -118,"Team REB: 35.60, Team AST: 17.40, Team 3PM: 8.83, Team STL: 8.77, Team BLK: 2.87, Team TO: 10.37",,"17 min in blowout last game, prior groin tweak resolved per coach, fully healthy","Minutes proj 33 reliable in comp games (30-35 last4); blowout capped 18/3pts. Recent pts volatile:3(18m),8(31m),20(32m),11(30m),16(35m) avg~11.6 last5 vs proj15.6/season13.1. Groin tweak resolved per coach/NCAA avail. Jefferson ankle out boosts usage? But team PTS proj77<81.6, KY tough D. Solid but fragile recent, volatile prod lowers trust.",15.57,interpolated_sim,2026-03-22 01:45 PM CDT,https://kenpom.com/player.php?p=52597,32.0,-1.0,13.82,-1.76,34.0,1.0,13.12,-2.45
Tavion Banks,Iowa,Florida,27.0,0.95,"[27, 26, 34, 19, 25]","[3.4, 3.2, 4.2, 2.4, 3.1]",FC,points_rebounds_assists,over,18.5805,15.5,-118,splash_sports,0.67,1.2304,58.0,,,splash_sports 15.5 O -118; U -118,"Team REB: 29.83, Team AST: 15.14, Team 3PM: 7.83, Team STL: 7.07, Team BLK: 2.10, Team TO: 9.48",,,"Minutes proj 27 aligns w/ last5 avg 26min (26,19,34,26,26), but 19min from foul trouble risk persists. Last5 PRA:10(Clem),12(OSU),16(MD),20(Neb),17(Mich) avg15.0<proj18.6; pts avg9.4<10.9, reb4.6<6.4, ast0.8<1.2. Season PRA~16.1 but recent low/volatile. Injury ques undisclosed, low team PTS70 vs Florida tough D. Over edge shaky.","10.91,6.44,1.23","interpolated_sim,interpolated_sim,interpolated_sim",2026-03-22 06:10 PM CDT,https://kenpom.com/player.php?p=56548,26.0,-1.0,16.42,-2.16,26.0,-1.0,14.94,-3.64
Bennett Stirtz,Iowa,Florida,40.0,1.0,"[40, 45, 39, 39, 40]","[2.2, 2.5, 2.1, 2.1, 2.2]",G,steals,over,1.7337,1.5,140,fanatics,0.51,1.2291,42.0,,,fanatics 1.5 O +140; U -180,"Team REB: 29.83, Team AST: 15.14, Team 3PM: 7.83, Team STL: 7.07, Team BLK: 2.10, Team TO: 9.48",,,"Minutes ironclad: 40+ last 12+ games, no injury/rotation issues. Season STL ~2.1pg per ESPN but D1 March Madness career avg 1.0 in 3 games; vs Clemson R1, Iowa team just 3 STL total (Stirtz struggled offensively, likely 0-1 STL). Florida athletic elite D, neutral TO margin, low-scoring proj (70pts) limits opps. Thin 1.73 proj/win lik 51% fragile vs tourney trends.",1.73,interpolated_sim,2026-03-22 06:10 PM CDT,https://kenpom.com/player.php?p=56549,39.0,-1.0,1.71,-0.02,39.5,-0.5,1.54,-0.19
Nate Ament,Tennessee,Virginia,20.0,0.82,"[0, 0, 32, 30, 19]","[0, 0, 1.9, 1.8, 1.1]",C,threes,under,0.81,1.5,-190,caesars,0.81,1.229,68.0,,,caesars 1.5 O +140; U -190 | fanatics 1.5 O +130; U -190 | prophetx 1.5 O +131; U -209,"Team REB: 42.67, Team AST: 17.20, Team 3PM: 6.67, Team STL: 7.63, Team BLK: 3.43, Team TO: 11.97",High right ankle sprain; minor knee soreness; limited to 18min (5 in 2H scoreless) in first-round tournament win due to leg soreness; expects to play vs Virginia but pain tolerance issues persist per coach,Adjusted down slightly to reflect recent tournament limitation despite expectation to play through; balanced with prior high usage,"Minutes unstable due to ankle sprain/pain tolerance; 18min/0-1 3PM last game vs Miami OH, prior 30min/0-5 vs Vandy. Volatile recent 3PM (0,0,4,0,2 last 5); season 1.3/4.0 but injury limits volume/mobility. 20min proj reasonable but fragile; Virginia strong 3pt D (opp 30.7%). Under viable but mins/role risk caps edge.",0.81,poisson_fallback,2026-03-22 05:10 PM CDT,https://kenpom.com/player.php?p=58152,32.0,12.0,1.26,0.45,30.0,10.0,1.42,0.61
Solo Ball,Connecticut,UCLA,25.0,0.92,"[24, 25, 17, 29, 25]","[1.5, 1.6, 1.1, 1.8, 1.6]",GF,threes,under,1.453,2.5,-190,fanatics,0.8,1.2279,78.0,,,caesars 2.5 O +146; U -197 | fanatics 2.5 O +130; U -190 | prophetx 2.5 O -106; U -260,"Team REB: 36.37, Team AST: 18.63, Team 3PM: 8.57, Team STL: 7.00, Team BLK: 5.47, Team TO: 10.87",,,"Minutes proj 27 aligns w/ recent avg 25.2 (31,24,25,17,29; high std 4.83, dip to 17). Last5 3PM: 0(@SJU 30min),1(GTWN17min),4(XAV25min),2(MARQ25),2(HALL31) avg1.8. Season1.6@30.6%. Recent cold streak (0/4 last), bench calls amid poor def/shooting. No injury. Streaky vol high, Furman blowout risks rest/vol limit. Under edge solid but fragile role/prod lowers trust.",1.45,interpolated_sim,2026-03-22 07:45 PM CDT,https://kenpom.com/player.php?p=54875,27.0,2.0,1.68,0.22,27.0,2.0,1.84,0.39
Jack Benter,Purdue,Miami FL,18.0,0.88,"[11, 10, 15, 24, 20]","[1.2, 1, 1.6, 2.5, 2.1]",F,points,over,5.2725,3.5,-118,splash_sports,0.66,1.2229,68.0,,,splash_sports 3.5 O -118; U -118,"Team REB: 35.60, Team AST: 19.67, Team 3PM: 9.40, Team STL: 5.67, Team BLK: 2.67, Team TO: 9.17",Recent wrist injury but played through with strong minutes,High std dev and minor injury introduce some uncertainty,"Minutes volatile (last5:24,15,10,10,17 avg15.2<18proj, high std dev); pts recent:7,8,2,0,4 (avg4.2, only 2/5>3.5); wrist injury since OSU affects shot but played thru w/ key 3s (UCLA8,Mich7); bench role solid amid rotation tweaks/ TKR injury but unstable production fragile in tourney; low line but edge vulnerable to min drop vs Miami D.",5.27,interpolated_sim,2026-03-22 11:10 AM CDT,https://kenpom.com/player.php?p=56093,15.0,-3.0,3.98,-1.3,15.0,-3.0,3.82,-1.45
Collin Chandler,Kentucky,Iowa St.,34.0,0.9,"[35, 30, 33, 28, 42]","[2.8, 2.4, 2.6, 2.2, 3.4]",GF,points,over,9.9244,7.5,-118,splash_sports,0.66,1.2227,68.0,,,fanatics 8.5 O -110; U -120 | sleeper 7.5 O -143; U -115 | splash_sports 7.5 O -118; U -118,"Team REB: 38.20, Team AST: 16.17, Team 3PM: 8.33, Team STL: 7.10, Team BLK: 4.33, Team TO: 10.73",,,"Minutes stable ~33 avg last 10, proj 34 reliable, starter. Points volatile: last 6 games avg 6.5 (5,6,15,8,2,3 pts), season 9.8. Recent shooting poor (e.g. 2/10 vs Santa Clara). Team PTS proj 70 vs 81 avg signals lower output. Iowa St def strong, but previews note Chandler open for 3s as shooter. No injuries, role clear, but fragile recent prod lowers trust in 9.9 proj over 7.5.",9.92,interpolated_sim,2026-03-22 01:45 PM CDT,https://kenpom.com/player.php?p=56073,34.0,0.0,10.36,0.44,33.0,-1.0,9.0,-0.92
Urban Klavzar,Florida,Iowa,18.0,0.95,"[21, 16, 14, 16, 17]","[1.5, 1.2, 1, 1.2, 1.2]",G,points,under,6.3315,7.5,-118,splash_sports,0.66,1.2204,78.0,,,splash_sports 7.5 O -118; U -118,"Team REB: 45.67, Team AST: 16.83, Team 3PM: 7.57, Team STL: 6.67, Team BLK: 5.07, Team TO: 11.73",,,"Minutes proj 18 aligns w/ last5 avg ~17-18; stable bench role as SEC 6MOY, no injuries. Recent pts: 11,5,6,14,8 (avg 8.8>7.5) but volatile shooter (cooled in SEC tourney). Low team pts proj (77 vs 88 avg), Iowa slow pace favors under. Fragile hot streak, but matchup edges proj 6.3 trustworthy.",6.33,interpolated_sim,2026-03-22 06:10 PM CDT,https://kenpom.com/player.php?p=57483,14.0,-4.0,5.6,-0.73,17.25,-0.75,7.5,1.17
Drake Allen,Utah St.,Arizona,33.0,0.95,"[37, 30, 31, 30, 33]","[3.5, 2.8, 2.9, 2.8, 3.1]",G,points,over,11.0613,8.5,-118,splash_sports,0.66,1.2192,92.0,,,caesars 9.5 O +102; U -136 | fanatics 9.5 O +105; U -140 | fanduel 8.5 O -125; U -104 | prophetx 9.5 O -101; U -153 | splash_sports 8.5 O -118; U -118,"Team REB: 34.63, Team AST: 17.70, Team 3PM: 8.83, Team STL: 8.77, Team BLK: 2.97, Team TO: 10.67",,,"Minutes stable 30-37 last 5 (avg 32+ min), high confidence starter/PG role confirmed via lineups/news. Recent tournament: 11,13,12 pts in 33/30/31 min; last 9 avg 11.3 pts 53%FG/48%3PT post-fatherhood per coach praise. Season 7.8PPG/25min underrates current usage. AZ top D lowers team tot to 72PTS, but 11 proj >8.5 reasonable w/ 66% win prob. No injuries/foul trends. Solid edge.",11.06,interpolated_sim,2026-03-22 06:50 PM CDT,https://kenpom.com/player.php?p=53191,33.0,0.0,9.63,-1.43,33.5,0.5,10.1,-0.96
Bishop Boswell,Tennessee,Virginia,28.0,0.95,"[29, 29, 31, 21, 21]","[3.2, 3.2, 3.4, 2.3, 2.3]",F,points_rebounds_assists,over,13.9301,11.5,-118,splash_sports,0.66,1.2113,38.0,,,splash_sports 11.5 O -118; U -118,"Team REB: 42.67, Team AST: 17.20, Team 3PM: 6.67, Team STL: 7.63, Team BLK: 3.43, Team TO: 11.97",,,"Adversarial review disproves over: Last 5 PRA avg 8.4 (10@Miami22min,4@Van21,8@Aub31,9@Van29,11@SC29) << proj 13.9; pts 3.6/6.9, reb 2.2/4.5 down. Hip flexor per Barnes, 4+ fouls 2/5gs, 4TO last. Minutes stable ~26 but VA pack-line/low team proj(70pts/37reb/14ast) caps output. Fragile recent form, stale season-based proj erodes 66% edge.","6.88,4.52,2.54","interpolated_sim,interpolated_sim,interpolated_sim",2026-03-22 05:10 PM CDT,https://kenpom.com/player.php?p=56085,24.0,-4.0,11.47,-2.46,27.0,-1.0,11.73,-2.2
Fletcher Loyer,Purdue,Miami FL,29.0,0.92,"[28, 32, 27, 32, 25]","[1, 1.1, 0.9, 1.1, 0.9]",GF,threes,under,2.4278,2.5,111,caesars,0.57,1.2099,28.0,,,caesars 2.5 O -148; U +111 | fanatics 2.5 O -145; U +110 | prophetx 2.5 O -159; U +102,"Team REB: 35.60, Team AST: 19.67, Team 3PM: 9.40, Team STL: 5.67, Team BLK: 2.67, Team TO: 9.17",,,"Loyer's last 5: 3/4,4/10,4/9,2/7,6/9 threes (avg 3.8 3PM, 44% on 7.8 att). Minutes avg 31.2 match proj, stable. Hot streak in B1G tourney vs quality foes. No injuries/role changes. Queens poor D, blowout favors volume/shots. Team 3PM up; proj 2.93 ignores surge, under fragile/untrustworthy.",2.43,interpolated_sim,2026-03-22 11:10 AM CDT,https://kenpom.com/player.php?p=52899,31.0,2.0,2.66,0.24,30.0,1.0,3.25,0.82
Dillon Mitchell,St. John's,Kansas,34.0,0.85,"[37, 14, 36, 38, 32]","[2.3, 0.9, 2.2, 2.4, 2]",FC,points_rebounds_assists,over,22.5392,19.5,-118,splash_sports,0.65,1.2083,78.0,,,sleeper 19.5 O -128; U -128 | splash_sports 19.5 O -118; U -118,,,"Recent tournament minutes consistently high (32 vs UNI, 36 vs Seton Hall semi, 39 vs UConn final) after outlier 14-min Big East quarterfinal; coach Pitino highlights 'played all those minutes' and praises consistency post-meeting.","Minutes proj 34 reliable post-14min foul outlier; last5 avg 31.4min, tournament 32-39min w/ PRA 17(UNI),21(UConn),24(SH),16(Prov),20(HALL)=19.6avg. Season PRA~18.3, recent pts~8<proj10.6, reb~8<9, ast~3.6~3. No injuries, Pitino praises consistency, starter role solid. Proj optimistic vs Kansas D, team low PTS73env; 3/5 recent overs but fragile pts/reb. Edge ok not elite.","10.59,8.98,2.98","interpolated_sim,interpolated_sim,interpolated_sim",2026-03-22 04:15 PM CDT,https://kenpom.com/player.php?p=53280,34.0,0.0,21.21,-1.33,34.0,0.0,19.72,-2.82
Boogie Fland,Florida,Iowa,31.0,0.95,"[29, 33, 35, 34, 25]","[2, 2.3, 2.4, 2.4, 1.8]",G,assists,under,2.9588,3.5,-118,splash_sports,0.65,1.2075,78.0,,,splash_sports 3.5 O -118; U -118,"Team REB: 45.67, Team AST: 16.83, Team 3PM: 7.57, Team STL: 6.67, Team BLK: 5.07, Team TO: 11.73",,,"Minutes proj 31 reliable (last5:25-35min avg29, stable role as starting PG, no injury/news). Recent asts:4(PV blowout),4(Vandy),1(KY),6(KY),3(MSST) avg3.6>proj2.96 but volatile(1-6). 3/5 over3.5. Season3.4ast. Team AST14.5<16.8 suggests fewer opps. Iowa matchup untested but proj conservative; fragile recent highs in variance lower trust in under edge.",2.96,interpolated_sim,2026-03-22 06:10 PM CDT,https://kenpom.com/player.php?p=56216,33.0,2.0,3.12,0.16,31.25,0.25,2.78,-0.18
Christian Anderson,Texas Tech,Alabama,37.0,0.95,"[32, 40, 40, 31, 39]","[1.6, 2, 2, 1.6, 2]",G,threes,over,3.4829,2.5,-118,splash_sports,0.65,1.2035,78.0,,,fanatics 2.5 O -130; U +100 | sleeper 2.5 O -135; U -122 | splash_sports 2.5 O -118; U -118,"Team REB: 37.30, Team AST: 16.07, Team 3PM: 11.47, Team STL: 5.93, Team BLK: 3.87, Team TO: 10.90","Groin strain from Big 12 tournament resolved; cleared, full strength, scored 18pts/5ast/4stl in first round vs Akron",Post-injury game confirms full workload capacity despite prior std dev; no limitations reported,"Minutes proj 37 solid (last5 avg 36.4, 39 post-injury vs Akron); no limits reported. 3PM last5: 2,2,6,1,2 (avg 2.6), volatile w/ recent tourney 2/6 ea (33%). Last10 avg 3.4 aligns proj 3.48 on 7.8 att. Alabama opp3P% 33.9% (173rd, avg). Star role secure, high team 3PM env. Edge ok but fragile recent prod/variance vs tougher foe lowers trust.",3.48,interpolated_sim,2026-03-22 08:45 PM CDT,https://kenpom.com/player.php?p=56143,39.0,2.0,3.33,-0.16,39.0,2.0,2.7,-0.78
